reg_sub,num_diligencias_sub,num_addr_sub,area_sqkm_sub,lat_c,lon_c,region
1,1.094833693932742,1.588235293515027,2.976213730871677,19.324633,-99.162735,1
2,.6312809674418531,.9757785515394062,3.008805178571492,19.310127,-99.128975,1
3,.4352441565133631,.4359861486591399,3.069563620258123,19.275661,-99.196045,1
4,.3000707694445737,.3910034615546465,1.623868069029413,19.285694,-99.168045,1
5,.0063694267882966,.0069204154424369,1.054223947227001,19.248486,-99.16629,1
6,.2604387830360793,.3287197253666818,2.910565108992159,19.250576,-99.090942,1
7,.0042462843703106,.0138408308848739,.039642090909183,19.293741,-99.183746,1
8,.3814578958554193,.4913494880311191,1.408435573801398,19.356689,-99.063538,2
9,.4295824579894543,.6193771644029766,.9395228857174516,19.366539,-99.106453,2
10,.9851379954488948,.8512110726442188,1.471135700121522,19.377737,-99.097328,2
11,.2186836511828005,.2664359856862575,.3583941580727696,19.348186,-99.108223,2
12,.4479830178897828,.5743944551795721,2.064884244464338,19.335901,-99.085808,2
13,.9660297174123116,1.21107268310152,3.686860708985478,19.357666,-99.038269,2
14,.2116065107402392,.3494809712283313,2.724497765302658,19.305651,-99.038513,2
15,.7190375013160519,.986159157473594,1.369276627898216,19.498142,-99.140862,3
16,.8053786291275173,1.076124580344185,3.570226831128821,19.490833,-99.108002,3
17,.4607218742603436,.5743944649584591,1.070080836303532,19.432585,-99.111732,3
18,.5364472717628814,.712802781490609,1.371892697177827,19.42696,-99.081291,3
19,.0021231421851553,.0034602077212185,.0320061100646853,19.426109,-99.056885,3
20,.6829440803267062,.6678200634196401,.7723517222329974,19.344727,-99.213959,4
21,.651804676221218,.7266436007339507,1.417068907059729,19.372072,-99.214523,4
22,.2738853509654291,.3010380659252405,1.559514852240682,19.314198,-99.246048,4
23,1.188251933082938,1.190311423968524,1.045884875115007,19.343651,-99.207268,4
24,.0021231421851553,.0034602077212185,.1428756602108479,19.356911,-99.238571,4
25,.2724699270911515,.4532871930859983,.2860759142786264,19.40494,-99.195686,5
26,1.033970281016082,.9792387522757053,1.099022159352899,19.386234,-99.256454,5
27,.2745930621749721,.4221453273203224,.5287489804904908,19.363775,-99.272926,5
28,.092710547731258,.1418685102835298,1.100562021601945,19.354574,-99.288956,5
29,1.295824500848539,1.086505180923268,.9985121816862375,19.369894,-99.259094,5
30,1.549186122603714,1.477508645504713,.4336150428280234,19.435747,-99.206741,6
31,.7721160390647128,.8131487884093076,.7252983674407005,19.428358,-99.194275,6
32,.6907289372757077,.4013840779662132,.1204240946099162,19.442221,-99.193314,6
33,.8782731890678406,.979238748550415,.4719970226287842,19.426228,-99.211853,6
34,.0580325536429882,.0795847773551941,.0244255196303129,19.445946,-99.189537,6
35,.5484784147702157,.4429065766744316,.1098990351893008,19.397408,-99.154366,7
36,1.52300069888588,1.567474057897925,.4954016804695129,19.403555,-99.159912,7
37,1.016277414048091,1.266436010133475,.5630461159162223,19.390215,-99.144165,7
38,.8619957661139779,1.027681659674272,.5644567795097828,19.41246,-99.143112,7
39,.6376503854990005,.7681660950183868,.1601297929883003,19.41102,-99.17453,7
40,.604387822560966,.4809688534587622,.2799842059612274,19.368549,-99.160454,8
41,1.731068664230406,1.840830455766991,.5696377139538527,19.376293,-99.166451,8
42,.8839349174522795,.6470588089432567,.1951883664587513,19.385967,-99.165741,8
43,.3687190264463425,.2525951564311981,.0765315713360906,19.373415,-99.180359,8
44,.8726114630699158,.6816608905792236,.1140642538666725,19.427095,-99.162552,9
45,.9978768434375525,1.456747386604548,.3702584002166986,19.431757,-99.137993,9
46,.5803255566279404,.7993079670704901,.7958328924141824,19.454294,-99.140327,9
47,1.13941964879632,1.020761251449585,.2238615639507771,19.43718,-99.172066,9.25
48,1.547770712466445,1.719723197165877,1.101137347868644,19.462914,-99.186279,10
49,.1818825163063593,.224913491634652,.447785590775311,19.466867,-99.204041,10
50,.1082802564487793,.1314878920093179,.5488996240310371,19.486788,-99.193748,10
51,1.418966728902888,.961937726708129,1.024226264096797,19.47253,-99.178131,10
52,.1783439508872107,.1937716261018068,.2563454299233854,19.47168,-99.15519,10
53,.0021231423597783,.0069204154424369,.0113745806738734,19.500509,-99.202942,10
,.0056617126683705,.0034602077212185,.0385054717771709,19.420637,-99.16922,8.5
